EXPORTACIONES/IMPORTACIONES,STATE ID,AÑO,ESTADO,VALOR,PORCENTAJE
Exportaciones,3,2018,Baja California Sur,50827008,0.049210007
Exportaciones,4,2018,Campeche,12493332,0.012095872
Exportaciones,6,2018,Colima,15032773,0.014554523
Exportaciones,9,2018,Ciudad de México,29460307,0.028523063
Exportaciones,11,2018,Guanajuato,358655,0.000347245
Exportaciones,14,2018,Jalisco,5559949,0.005383066
Exportaciones,15,2018,Estado de México,586093,0.000567447
Exportaciones,19,2018,Nuevo León,651495,0.000630769
Exportaciones,21,2018,Puebla,25723,2.49047E-05
Exportaciones,23,2018,Quintana Roo,23360298,0.022617118
Exportaciones,25,2018,Sinaloa,216653368,0.2097608
Exportaciones,26,2018,Sonora,238462413,0.230876016
Exportaciones,28,2018,Tamaulipas,3997438,0.003870264
Exportaciones,30,2018,Veracruz de Ignacio de la Llave,3993046,0.003866012
Exportaciones,31,2018,Yucatán,165992566,0.16071171
Exportaciones,33,2018,No Informado,2834535,0.002744358
Importaciones,2,2024,Baja California,97827740,0.110828624
Importaciones,3,2024,Baja California Sur,1989960,0.002254417
Importaciones,6,2024,Colima,80353236,0.091031834
Importaciones,7,2024,Chiapas,84889496,0.096170943
Importaciones,8,2024,Chihuahua,63458463,0.071891819
Importaciones,9,2024,Ciudad de México,218800530,0.247878175
Importaciones,11,2024,Guanajuato,16766934,0.018995187
Importaciones,14,2024,Jalisco,44615849,0.050545103
Importaciones,15,2024,Estado de México,43212233,0.048954952
Importaciones,19,2024,Nuevo León,50781530,0.057530176
Importaciones,22,2024,Querétaro,11531410,0.013063885
Importaciones,23,2024,Quintana Roo,60701217,0.068768147
Importaciones,25,2024,Sinaloa,22038620,0.024967457
Importaciones,28,2024,Tamaulipas,44782341,0.050733721
Importaciones,31,2024,Yucatán,40944247,0.046385561
Importaciones,1,2023,Aguascalientes,278646,0.000344598
Importaciones,2,2023,Baja California,70680358,0.087409493
Importaciones,3,2023,Baja California Sur,22080802,0.027307045
Importaciones,6,2023,Colima,45701406,0.056518343
Importaciones,7,2023,Chiapas,96534157,0.119382554
Importaciones,8,2023,Chihuahua,40979959,0.05067939
Importaciones,9,2023,Ciudad de México,193740290,0.239596133
Importaciones,11,2023,Guanajuato,17428652,0.02155379
Importaciones,14,2023,Jalisco,52477418,0.06489815
Importaciones,15,2023,Estado de México,57629452,0.071269604
Importaciones,19,2023,Nuevo León,24401027,0.030176437
Importaciones,22,2023,Querétaro,2648484,0.003275346
Importaciones,23,2023,Quintana Roo,51584097,0.063793391
Importaciones,25,2023,Sinaloa,24056849,0.029750797
Importaciones,26,2023,Sonora,3874904,0.004792044
Importaciones,28,2023,Tamaulipas,84531164,0.104538607
Importaciones,30,2023,Veracruz de Ignacio de la Llave,1395373,0.00172564
Importaciones,31,2023,Yucatán,18588887,0.022988638
Importaciones,2,2022,Baja California,88585659,0.096876206
Importaciones,3,2022,Baja California Sur,53414258,0.058413187
Importaciones,6,2022,Colima,115016270,0.125780402
Importaciones,7,2022,Chiapas,56162431,0.061418555
Importaciones,8,2022,Chihuahua,28237473,0.030880159
