fecha,actual,val_pred,val_lower,val_upper,fc_pred,fc_lower,fc_upper
2024-08-01,85668.0,,,,,,
2024-09-01,81244.0,,,,,,
2024-10-01,86602.0,,,,,,
2024-11-01,95605.0,,,,,,
2024-12-01,89477.0,,,,,,
2025-01-01,97158.0,101119.13109883608,83174.4053849597,119063.85681271246,,,
2025-02-01,82096.0,92785.83449614939,71692.27778750866,113879.39120479011,,,
2025-03-01,68884.0,90147.24714277533,66702.7372310991,113591.75705445156,,,
2025-04-01,54755.0,87678.51678198065,61961.5455943268,113395.4879696345,,,
2025-05-01,62316.0,86716.25758436896,59310.23868742093,114122.27648131698,,,
2025-06-01,62736.0,88486.66241973438,58792.11355176967,118181.21128769909,,,
2025-07-01,72683.0,97020.92128993358,65518.77316716791,128523.06941269926,,,
2025-08-01,74043.0,92520.59307062328,59615.163870873934,125426.02227037262,,,
2025-09-01,68920.0,98582.37767781965,63718.9524002738,133445.8029553655,,,
2025-10-01,81090.0,102456.38374083386,66126.74283960619,138786.02464206153,,,
2025-11-01,72964.0,102211.866492144,64596.75796567045,139826.97501861758,,,
2025-12-01,85158.0,106508.66054341046,67157.6618140866,145859.6592727343,,,
2026-01-01,,,,,89719.23180394914,71775.08164423225,107663.38196366602
2026-02-01,,,,,79326.35254866623,57749.51762490678,100903.18747242566
2026-03-01,,,,,81317.81112674679,56826.78639305697,105808.83586043661
2026-04-01,,,,,73001.26961111157,45465.0158139648,100537.52340825833
2026-05-01,,,,,73925.80438016634,44210.87615278627,103640.73260754641
2026-06-01,,,,,79727.96210551212,47403.6631870031,112052.26102402115
2026-07-01,,,,,81993.16842412733,47415.27931232561,116571.05753592905
2026-08-01,,,,,81064.0181918996,44735.108704523984,117392.9276792752
2026-09-01,,,,,87655.57326713378,49105.14869788338,126205.99783638417
2026-10-01,,,,,87187.6296869785,46806.406403952125,127568.85297000487
2026-11-01,,,,,89007.27004031034,47073.56837957371,130940.97170104696
2026-12-01,,,,,96122.42600151637,52228.6295317569,140016.22247127583
2027-01-01,,,,,95378.00619759332,49113.794290412174,141642.21810477448
2027-02-01,,,,,91406.45170167148,43236.70144366517,139576.2019596778
2027-03-01,,,,,93695.5001272486,43300.658198560246,144090.34205593696
2027-04-01,,,,,81427.64947819829,29239.67968024867,133615.61927614792
2027-05-01,,,,,87506.24910230062,33595.76071898027,141416.73748562095
2027-06-01,,,,,91968.74828600087,36030.283527376974,147907.21304462478
2027-07-01,,,,,90407.37052035071,32895.687166790456,147919.05387391098
2027-08-01,,,,,94985.71660670175,35852.7183810578,154118.71483234572
2027-09-01,,,,,98842.71080948721,37877.727626315165,159807.69399265925
2027-10-01,,,,,96105.67619331345,33722.80113066064,158488.55125596627
2027-11-01,,,,,102982.8914588225,39048.04831107284,166917.73460657216
2027-12-01,,,,,106268.78558420055,40669.91331022972,171867.65785817138
